,Seq-1,Time-1
1,1,1
2,2,4.7672692
3,3,15.17337249
4,4,4.955570508
5,5,10.66300291
6,6,8.491422428
7,7,4.26327649
8,8,7.030295215
9,9,5.559434034
10,10,19.65506992
11,11,15.44350955
12,12,1.670914559
13,13,4.678803116
14,14,5.246137552
15,15,2.099637359
16,16,3.879387567
17,17,11.2020377
18,18,3.025496754
19,19,1
20,20,12.94431289
21,21,47.60651466
22,22,29.94148923
23,23,7.07600128
24,24,3.903404292
25,25,13.37608393
26,26,1.41754256
27,27,17.13925879
28,28,6.86010842
29,29,12.87007272
30,30,8.86915186
31,31,11.29557857
32,32,1.423758991
33,33,2.512950967
34,34,1.376960638
35,35,16.09226783
36,36,9.755908564
37,37,8.254692916
38,38,1
39,39,4.097301972
40,40,1.134539016
41,41,27.36064323
42,42,25.47908204
43,43,2.821015147
44,44,10.5137117
45,45,1
46,46,1.112268526
47,47,26.56791911
48,48,5.465076873
49,49,5.791705018
50,50,13.59324992
51,51,4.61453879
52,52,21.54407631
53,53,1
